,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
135930,Plotting and Growing ,1 bag of clear plastic cups,name tents- trash,,,Jake,
,,1 bag of blue solo cups,Student packets- trash,,,,
,,1 bag of rulers,Dried and dead garlic- trash,,,,
,,18 white boards,4 rulers- retunred to inventory,,,,
,,1 bag of white board markers,old grass seeds-trash,,,,
,,1 bag of green colored pencils,2 spare zip ties,,,,
,,2 bags of magnifing glasses,,,,,
,,1 bag of sticky notes,,,,,
,,1 bag of magnetic skinny rhombi,,,,,
,,2 bags of magnetic equalteral rhombi,,,,,
,,2 bags of magnetic triangles,,,,,
,,2 bags of magnetic squares,,,,,
,,3 bags of magnetic trapezoids,,,,,
,,2 bags of magnetic hexagons,,,,,
,,2 bags of scotch tape,,,,,
,,1 bag of bags of potting soil,,,,,
,,2 rolls of register tape,,,,,
,,1 bag of pinecones,,,,,
,,1 four function calculator,,,,,
102422,Floating and Sinking Kit,59 Fishing blobbers,dry clay ,,objects to measure density,Giancarlo,
,,2 bags of blue marbles,empty bags ,,clay,,
,,15 wooden beads,empty boxes,,1 racketball,,
,,11 metal bolts,,,3 spring scales,,
,,15 pippetts ,,,1 suction cup,,
,,1 bag of spoons,,,,,
,,25 drink tops,,,,,
,,1 bag of toothpicks,,,,,
,,5 flashcards,,,,,
,,12 spring scales,,,,,
,,2 wooden sticks,,,,,
,,2 wooden circles,,,,,
,,1 bag of paperclips,,,,,
,,1 scotch tape,,,,,
,,1 bag of black clips,,,,,
,,2 racketballs,,,,,
,,1 bag of geometric shapes,,,,,
,,1 roll of aluminum foil,,,,,
,,1 roll of wax paper,,,,,
,,2 bags of small spoons,,,,,
,,28 straws,,,,,
,,14 suction cups,,,,,
,,5 m plastic cups,,,,,
,,1 s plastic cups,,,,,
107075,Messages from Space,10 radiometers,2 plastic figures,,,Giancarlo,
,,8 plastic cups,,,,,
,,3 styrofoam cups,,,,,
,,7 lightbulbs,,,,,
,,3 inflatable globes,,,,,
,,8 straws,,,,,
,,1 bag og spoons,,,,,
,,4 connection chords,,,,,
,,3 expo markers,,,,,
,,1 tape,,,,,
,, 2 gluesticks,,,,,
,,1 handful of black bags,,,,,
,,6 time trackers,,,,,
,,12 meter sticks,,,,,
,,5 wooden contraptions to place bulbs,,,,,
,,1 bag on construction paper,,,,,
,,2 folders of assignments,,,,,
,,"1 set of ""messages from space""",,,,,
,,1 address label,,,,,
106945,Solar Energy,6 one-liter containers,,,globe,Gideon,"contains extra solar houses (4), popsicle sticks (4)"
,,8 50 mL syringes,,,3 cardboard sheets,,
,,rubber bands,,,1 AA battery,,
,,13 solar houses,,,1 magnetic compass,,
,,1 box white chalk,,,6 quarter-liter plastic containers,,
,,2 rolls scotch tape,,,5 250 mL plastic cups,,
,,14.5 square cardboard sheets,,,1 mini flashlight,,
,,7 AA batteries,,,2 wooden golf tees,,
,,9 magnetic compasses,,,1 L potting soil,,
,,14 quarter liter containers,,,8 Celsius thermometers,,
,,20 container lids,,,,,
,,1 250 mL plastic cup,,,,,
,,9 mini flashlights,,,,,
,,18 wooden golf tees,,,,,
,,black plastic sheeting,,,,,
,,white plastic sheeting,,,,,
,,1 kg sand,,,,,
,,1 L potting soil,,,,,
,,14 popsicle sticks,,,,,
,,10 thermometers,,,,,
,,22 gallon ziploc bags,,,,,
,,teacher guide and duplication masters,,,,,
123197,Magnets,94 Craft magnets,1 wooden plack with no magnets,All magnets,More regular magnets,Giancarlo,
,,"7 ""strong mangets""",3 empty cylinders,,,,
,,48 yellow circular magnets,,,,,
,,1 bag of lead shots,,,,,
,,1 box of anti dust chalk,,,,,
,,1 bag of black wires,,,,,
,,1 bag of jumbo craft sticks,,,,,
,,1 bag of yellow tiles,,,,,
,,1 bag of magnets with iron filings,,,,,
,,15 wooden boxes with magnets in between,,,,,
,,1 bag of colored magnets,,,,,
,,1 bag of random stuff,,,,,
